Model,MSO2024
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,49.49900% to 50.500%,49.49900% to 50.500%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,5
Label,,
TIME,CH1,CH2
3.85000e-07,-0.04,-0.8
3.86000e-07,-0.04,-0.6
3.87000e-07,-0.04,-0.6
3.88000e-07,-0.12,-0.4
3.89000e-07,-0.04,-0.4
3.90000e-07,-0.12,-0.4
3.91000e-07,0.04,-0.2
3.92000e-07,-0.04,-0.2
3.93000e-07,0.04,-0.2
3.94000e-07,-0.12,-0.2
3.95000e-07,-0.04,0
3.96000e-07,-0.04,0
3.97000e-07,-0.04,0
3.98000e-07,-0.04,0
3.99000e-07,-0.04,0
4.00000e-07,-0.04,0
4.01000e-07,-0.04,0
4.02000e-07,-0.04,0
4.03000e-07,-0.04,0.2
4.04000e-07,-0.12,0.2
4.05000e-07,-0.12,0.2
4.06000e-07,-0.2,0.2
4.07000e-07,-0.2,0
4.08000e-07,-0.36,0.2
4.09000e-07,-0.36,0
4.10000e-07,-0.52,0.2
4.11000e-07,-0.52,0.2
4.12000e-07,-0.68,0.2
4.13000e-07,-0.76,0.2
4.14000e-07,-0.84,0.2
4.15000e-07,-0.84,0
4.16000e-07,-0.92,0.2
4.17000e-07,-0.92,0.2
4.18000e-07,-0.92,0.2
4.19000e-07,-0.84,0.2
4.20000e-07,-0.76,0.2
4.21000e-07,-0.68,0.2
4.22000e-07,-0.76,0.2
4.23000e-07,-0.6,0.2
4.24000e-07,-0.6,0.2
4.25000e-07,-0.52,0.4
4.26000e-07,-0.52,0.2
4.27000e-07,-0.44,0.4
4.28000e-07,-0.52,0.2
4.29000e-07,-0.44,0.2
4.30000e-07,-0.44,0.2
4.31000e-07,-0.36,0.2
4.32000e-07,-0.44,0.2
4.33000e-07,-0.36,0.4
4.34000e-07,-0.44,0.2
4.35000e-07,-0.36,0.2
4.36000e-07,-0.36,0.4
4.37000e-07,-0.28,0.2
4.38000e-07,-0.28,0.4
4.39000e-07,-0.28,0.2
4.40000e-07,-0.28,0.2
4.41000e-07,-0.28,0.4
4.42000e-07,-0.28,0.4
4.43000e-07,-0.28,0.4
4.44000e-07,-0.28,0.4
4.45000e-07,-0.2,0.4
4.46000e-07,-0.28,0.4
4.47000e-07,-0.2,0.4
4.48000e-07,-0.28,0.4
4.49000e-07,-0.2,0.4
4.50000e-07,-0.28,0.4
4.51000e-07,-0.2,0.4
4.52000e-07,-0.2,0.4
4.53000e-07,-0.2,0.4
4.54000e-07,-0.2,0.4
4.55000e-07,-0.2,0.4
4.56000e-07,-0.2,0.4
4.57000e-07,-0.2,0.4
4.58000e-07,-0.2,0.4
4.59000e-07,-0.12,0.4
4.60000e-07,-0.2,0.4
4.61000e-07,-0.12,0.4
4.62000e-07,-0.2,0.4
4.63000e-07,-0.12,0.4
4.64000e-07,-0.2,0.4
4.65000e-07,-0.12,0.4
4.66000e-07,-0.2,0.4
4.67000e-07,-0.12,0.4
4.68000e-07,-0.12,0.4
4.69000e-07,-0.12,0.4
4.70000e-07,-0.12,0.2
4.71000e-07,-0.12,0.2
